ID,Date,Attend,Transportation Expense,Distance to Work,Age,Body Mass Index,Education,Children,Pets,work_position
1,2015-07-06,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-07,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-08,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-09,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-10,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-11,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-12,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-13,0,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-14,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-15,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-16,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-17,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-18,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-19,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-20,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-21,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-22,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-23,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-24,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-25,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-26,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-27,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-28,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-29,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-30,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-07-31,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-01,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-02,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-03,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-04,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-05,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-06,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-07,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-08,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-09,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-10,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-11,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-12,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-13,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-14,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-15,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-16,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-17,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-18,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-19,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-20,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-21,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-22,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-23,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-24,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
1,2015-08-25,1,235.0,11.0,37.0,29.0,3.0,1.0,1.0,Warehouse Associate
